[2024-06-29T13:57:09.853369+00:00] fahmi_arzalega\belajar\PHP\MVC\LoggingTest.INFO: Belajar Pemograman PHP Logging [] []
[2024-06-29T13:57:09.857389+00:00] fahmi_arzalega\belajar\PHP\MVC\LoggingTest.INFO: Selamat Datang di Course Programmer Zaman Now [] []
[2024-06-29T13:57:09.857433+00:00] fahmi_arzalega\belajar\PHP\MVC\LoggingTest.INFO: Ini informasi aplikasi logging [] []
[2024-06-29T14:17:40.543012+00:00] fahmi_arzalega\belajar\PHP\MVC\LevelTest.DEBUG: this is debug [] []
[2024-06-30T07:06:49.915511+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-3 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.915560+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-4 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.915609+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-5 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.915658+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-6 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.915722+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-7 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.915772+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-8 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.915822+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-9 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.915920+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-10 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.915971+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-11 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.916021+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-12 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.916127+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-13 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.916181+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-14 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.916231+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-15 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.916280+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-16 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.916329+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-17 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.920486+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-18 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.920693+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-19 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.920785+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-20 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.920883+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-21 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.920986+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-22 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.921071+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-23 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.921154+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-24 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.921261+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-25 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.921348+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-26 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.921433+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-27 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.921529+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-28 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.921618+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-29 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.921890+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-30 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.922023+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-31 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.922165+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-32 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.922302+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-33 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.922433+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-34 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.922567+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-35 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.922689+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-36 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.922775+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-37 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.922862+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-38 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.922949+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-39 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923029+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-40 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923110+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-41 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923186+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-42 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923256+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-43 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923328+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-44 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923404+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-45 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923480+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-46 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923547+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-47 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923677+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-48 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923740+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-49 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923790+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-50 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923839+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-51 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923888+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-52 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923937+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-53 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.923986+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-54 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.924035+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-55 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.924083+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-56 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.924132+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-57 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.924181+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-58 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.924230+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-59 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.924279+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-60 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.924328+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-61 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.924377+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-62 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.924426+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-63 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.924475+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-64 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.924731+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-65 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.924903+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-66 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.925010+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-67 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.925103+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-68 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.925204+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-69 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.925299+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-70 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.925396+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-71 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.925491+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-72 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.925589+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-73 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.925685+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-74 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.925763+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-75 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.925834+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-76 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.925903+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-77 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.925972+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-78 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.926050+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-79 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.926124+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-80 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.926192+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-81 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.926257+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-82 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.926350+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-83 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.926435+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-84 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.926505+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-85 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.926573+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-86 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.926644+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-87 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
[2024-06-30T07:06:49.926717+00:00] fahmi_arzalega\belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-88 [] {"hostname":"LAPTOP-SAJJSN4L","memory_usage":"6 MB","git":{"branch":"master","commit":"b2ddba9d4adeed07112442fcbd00b458a094f0c4"}}
